Region,Year,Mass_shootings,Population,Shootings_Per_Citizen,Pct_Change
Midwest,2018,85,68985454,0.12321438081715022,0.0
Midwest,2019,105,68985454,0.1522059998329503,23.529411764705905
Midwest,2020,168,68985454,0.24352959973272045,97.64705882352942
Midwest,2021,205,68985454,0.29716409491195056,141.17647058823533
Midwest,2022,167,68985454,0.24208001878193047,96.47058823529416
Midwest,2023,155,68985454,0.22468504737245043,82.35294117647061
Midwest,2024,106,68985454,0.1536555807837403,24.705882352941202
Northeast,2018,61,57243423,0.1065624604594313,0.0
Northeast,2019,76,57243423,0.13276634417896357,24.590163934426222
Northeast,2020,129,57243423,0.22535339998797765,111.47540983606557
Northeast,2021,137,57243423,0.23932880463839487,124.59016393442622
Northeast,2022,108,57243423,0.18866796278063244,77.04918032786884
Northeast,2023,108,57243423,0.18866796278063244,77.04918032786884
Northeast,2024,69,57243423,0.12053786510984853,13.114754098360667
Northwest,2018,3,19297316,0.01554620342020621,0.0
Northwest,2019,8,19297316,0.04145654245388322,166.66666666666663
Northwest,2020,11,19297316,0.05700274587408943,266.66666666666663
Northwest,2021,17,19297316,0.08809515271450186,466.6666666666667
Northwest,2022,18,19297316,0.09327722052123726,500.0
Northwest,2023,19,19297316,0.09845928832797264,533.3333333333333
Northwest,2024,6,19297316,0.03109240684041242,100.0
Southeast,2018,114,97438243,0.11699718353911616,0.0
Southeast,2019,126,97438243,0.12931267654323364,10.526315789473676
Southeast,2020,206,97438243,0.21141596323735024,80.7017543859649
Southeast,2021,201,97438243,0.20628450781896798,76.31578947368422
Southeast,2022,209,97438243,0.21449483648837964,83.33333333333334
Southeast,2023,216,97438243,0.22167887407411482,89.47368421052632
Southeast,2024,152,97438243,0.15599624471882154,33.33333333333333
Southwest,2018,72,81102840,0.08877617602540183,0.0
Southwest,2019,99,81102840,0.1220672420349275,37.49999999999998
Southwest,2020,97,81102840,0.11960123714533301,34.72222222222221
Southwest,2021,129,81102840,0.15905731537884493,79.16666666666666
Southwest,2022,142,81102840,0.17508634716120916,97.22222222222221
Southwest,2023,158,81102840,0.19481438627796513,119.44444444444444
Southwest,2024,65,81102840,0.08014515891182108,-9.722222222222237
